using cuda
{'loss': 0.6387, 'grad_norm': 13.322836875915527, 'learning_rate': 1e-05, 'epoch': 0.02}
{'loss': 0.5667, 'grad_norm': 10.354268074035645, 'learning_rate': 9.992132179386311e-06, 'epoch': 0.03}
{'loss': 0.3314, 'grad_norm': 6.561710834503174, 'learning_rate': 9.984264358772621e-06, 'epoch': 0.05}
{'loss': 0.2634, 'grad_norm': 2.736077070236206, 'learning_rate': 9.976396538158931e-06, 'epoch': 0.06}
{'loss': 0.2611, 'grad_norm': 4.035121440887451, 'learning_rate': 9.968528717545241e-06, 'epoch': 0.08}
{'loss': 0.2164, 'grad_norm': 1.6702876091003418, 'learning_rate': 9.960660896931551e-06, 'epoch': 0.09}
{'loss': 0.2159, 'grad_norm': 3.0139334201812744, 'learning_rate': 9.95279307631786e-06, 'epoch': 0.11}
{'loss': 0.2036, 'grad_norm': 2.0392990112304688, 'learning_rate': 9.944925255704172e-06, 'epoch': 0.13}
{'loss': 0.1967, 'grad_norm': 3.474959373474121, 'learning_rate': 9.93705743509048e-06, 'epoch': 0.14}
{'loss': 0.1891, 'grad_norm': 1.6520702838897705, 'learning_rate': 9.92918961447679e-06, 'epoch': 0.16}
{'loss': 0.1995, 'grad_norm': 1.2473349571228027, 'learning_rate': 9.921321793863102e-06, 'epoch': 0.17}
{'loss': 0.1844, 'grad_norm': 0.833669900894165, 'learning_rate': 9.91345397324941e-06, 'epoch': 0.19}
{'loss': 0.1998, 'grad_norm': 3.0353245735168457, 'learning_rate': 9.90558615263572e-06, 'epoch': 0.2}
{'loss': 0.1879, 'grad_norm': 1.5648244619369507, 'learning_rate': 9.89771833202203e-06, 'epoch': 0.22}
{'loss': 0.1842, 'grad_norm': 0.74678635597229, 'learning_rate': 9.88985051140834e-06, 'epoch': 0.24}
{'loss': 0.1899, 'grad_norm': 1.9154013395309448, 'learning_rate': 9.88198269079465e-06, 'epoch': 0.25}
{'loss': 0.1805, 'grad_norm': 1.6701287031173706, 'learning_rate': 9.874114870180961e-06, 'epoch': 0.27}
{'loss': 0.1839, 'grad_norm': 3.4071292877197266, 'learning_rate': 9.86624704956727e-06, 'epoch': 0.28}
{'loss': 0.1813, 'grad_norm': 1.3017288446426392, 'learning_rate': 9.858379228953581e-06, 'epoch': 0.3}
{'loss': 0.1759, 'grad_norm': 9.161721229553223, 'learning_rate': 9.850511408339891e-06, 'epoch': 0.31}
{'loss': 0.1901, 'grad_norm': 3.3998804092407227, 'learning_rate': 9.8426435877262e-06, 'epoch': 0.33}
{'loss': 0.1783, 'grad_norm': 2.3434009552001953, 'learning_rate': 9.834775767112512e-06, 'epoch': 0.35}
{'loss': 0.1583, 'grad_norm': 0.6640363931655884, 'learning_rate': 9.82690794649882e-06, 'epoch': 0.36}
{'loss': 0.1765, 'grad_norm': 1.7540125846862793, 'learning_rate': 9.81904012588513e-06, 'epoch': 0.38}
{'loss': 0.1727, 'grad_norm': 1.150968313217163, 'learning_rate': 9.81117230527144e-06, 'epoch': 0.39}
{'loss': 0.1596, 'grad_norm': 0.9612733721733093, 'learning_rate': 9.80330448465775e-06, 'epoch': 0.41}
{'loss': 0.1775, 'grad_norm': 3.4976999759674072, 'learning_rate': 9.79543666404406e-06, 'epoch': 0.42}
{'loss': 0.15, 'grad_norm': 1.4128460884094238, 'learning_rate': 9.78756884343037e-06, 'epoch': 0.44}
{'loss': 0.1892, 'grad_norm': 3.412994623184204, 'learning_rate': 9.77970102281668e-06, 'epoch': 0.46}
{'loss': 0.1588, 'grad_norm': 0.8571378588676453, 'learning_rate': 9.77183320220299e-06, 'epoch': 0.47}
{'loss': 0.1731, 'grad_norm': 2.1293578147888184, 'learning_rate': 9.763965381589301e-06, 'epoch': 0.49}
{'loss': 0.1646, 'grad_norm': 1.0261380672454834, 'learning_rate': 9.756097560975611e-06, 'epoch': 0.5}
{'loss': 0.1616, 'grad_norm': 1.5437073707580566, 'learning_rate': 9.748229740361921e-06, 'epoch': 0.52}
{'loss': 0.1639, 'grad_norm': 1.758223533630371, 'learning_rate': 9.74036191974823e-06, 'epoch': 0.53}
{'loss': 0.1747, 'grad_norm': 1.742060899734497, 'learning_rate': 9.732494099134541e-06, 'epoch': 0.55}
{'loss': 0.1671, 'grad_norm': 0.6838372349739075, 'learning_rate': 9.72462627852085e-06, 'epoch': 0.57}
{'loss': 0.1697, 'grad_norm': 2.5218045711517334, 'learning_rate': 9.71675845790716e-06, 'epoch': 0.58}
{'loss': 0.1625, 'grad_norm': 2.079282283782959, 'learning_rate': 9.708890637293472e-06, 'epoch': 0.6}
{'loss': 0.172, 'grad_norm': 5.522666931152344, 'learning_rate': 9.70102281667978e-06, 'epoch': 0.61}
{'loss': 0.1775, 'grad_norm': 2.5877199172973633, 'learning_rate': 9.69315499606609e-06, 'epoch': 0.63}
{'loss': 0.1823, 'grad_norm': 3.7567129135131836, 'learning_rate': 9.6852871754524e-06, 'epoch': 0.64}
{'loss': 0.1597, 'grad_norm': 1.8736743927001953, 'learning_rate': 9.67741935483871e-06, 'epoch': 0.66}
{'loss': 0.1703, 'grad_norm': 0.8463165163993835, 'learning_rate': 9.66955153422502e-06, 'epoch': 0.68}
{'loss': 0.1611, 'grad_norm': 1.2247284650802612, 'learning_rate': 9.66168371361133e-06, 'epoch': 0.69}
{'loss': 0.1598, 'grad_norm': 0.7383085489273071, 'learning_rate': 9.65381589299764e-06, 'epoch': 0.71}
{'loss': 0.1597, 'grad_norm': 1.9396469593048096, 'learning_rate': 9.645948072383951e-06, 'epoch': 0.72}
{'loss': 0.1772, 'grad_norm': 0.5557031035423279, 'learning_rate': 9.638080251770261e-06, 'epoch': 0.74}
{'loss': 0.1687, 'grad_norm': 1.8882579803466797, 'learning_rate': 9.630212431156571e-06, 'epoch': 0.75}
{'loss': 0.1577, 'grad_norm': 0.7531217336654663, 'learning_rate': 9.622344610542881e-06, 'epoch': 0.77}
{'loss': 0.1629, 'grad_norm': 1.7905563116073608, 'learning_rate': 9.61447678992919e-06, 'epoch': 0.79}
{'loss': 0.16, 'grad_norm': 2.271022319793701, 'learning_rate': 9.606608969315501e-06, 'epoch': 0.8}
